Section	.text	.rodata	.data	.bss	.bssSize	.sdata	.sbss
LibSnd::SSSATTR	800d0c88	N/A	N/A	N/A	0	N/A	N/A
LibSpu::S_SCA	800d0d48	80038d7c	N/A	N/A	0	N/A	N/A
LibSnd::SSSMV	800d10c8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::SSSTART	800d1118	N/A	800fbb44	N/A	0	N/A	N/A
LibSnd::SSSTOP	800d1428	N/A	N/A	N/A	0	N/A	N/A
LibSnd::SSSV	800d1608	N/A	N/A	N/A	0	N/A	N/A
LibSnd::SSTABLE	800d1718	N/A	N/A	N/A	0	N/A	N/A
LibSnd::SSTICK	800d1938	80038dbc	N/A	N/A	0	N/A	N/A
LibSnd::SSVOL	800d1a88	N/A	N/A	N/A	0	N/A	N/A
LibSnd::SSVOL_2	800D1C18	N/A	N/A	N/A	0	N/A	N/A
LibSnd::TEMPO	800d1c58	N/A	N/A	N/A	0	N/A	N/A
LibSnd::VOL	800d1e78	N/A	N/A	N/A	0	N/A	N/A
LibSnd::UT_AKO	800d1ee8	N/A	N/A	N/A	0	N/A	N/A
LibSpu::S_SVA	800d2038	80038ddc	N/A	N/A	0	N/A	N/A
LibSpu::S_N2P	800d2638	N/A	800fbb64	N/A	0	N/A	N/A
LibSnd::UT_GPA	800D2838	N/A	N/A	N/A	0	N/A	N/A
LibSnd::UT_GVA	800D2948	N/A	N/A	N/A	0	N/A	N/A
LibSnd::UT_RDEL	800D2B88	N/A	N/A	N/A	0	N/A	N/A
LibSpu::S_SRMP	800D2BC8	N/A	N/A	N/A	0	N/A	N/A
LibSpu::S_SRA	800D30A8	N/A	N/A	N/A	0	N/A	N/A
LibSpu::RMP2	N/A	N/A	800fbc84	N/A	0	N/A	N/A
LibSnd::UT_RDEP	800D3578	N/A	N/A	N/A	0	N/A	N/A
LibSnd::UT_REV	800D3608	N/A	N/A	N/A	0	N/A	N/A
LibSnd::UT_REV_2	800D36A8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::UT_RFB	800D3798	N/A	N/A	N/A	0	N/A	N/A
LibSnd::UT_ROFF	800D37D8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::UT_RON	800D37F8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::UT_SVA	800D3818	N/A	N/A	N/A	0	N/A	N/A
LibSnd::VM_DOFF	800D39E8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::VM_DON	800D39F8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::VM_F	800D3A08	N/A	N/A	8010b158	0x928	N/A	N/A
LibSpu::S_SNV	800D3ED8	N/A	N/A	N/A	0	N/A	N/A
LibSpu::S_SAV	800D3F08	N/A	N/A	N/A	0	N/A	N/A
LibSpu::S_GNV	800D41C8	N/A	N/A	N/A	0	N/A	N/A
LibSpu::S_GAV	800D41F8	N/A	N/A	N/A	0	N/A	N/A
LibSpu::S_SRV	800D4228	N/A	N/A	N/A	0	N/A	N/A
LibSpu::S_GRV	800D4258	N/A	N/A	N/A	0	N/A	N/A
LibSpu::S_SK	800D4288	N/A	N/A	N/A	0	N/A	N/A
LibSpu::S_GVEX	800D4448	N/A	N/A	N/A	0	N/A	N/A
LibSnd::VM_INIT	800D4468	N/A	N/A	8010ba80	0xa10	N/A	N/A
LibSpu::S_M_INIT	800D47B8	N/A	N/A	N/A	0	N/A	N/A
LibSpu::S_IT	800D4818	N/A	N/A	N/A	0	N/A	N/A
LibSnd::VM_KEY	800D4858	N/A	N/A	N/A	0	N/A	N/A
LibSnd::VM_ALOC1	800D4FF8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::VM_ALOC2	800D5268	N/A	N/A	N/A	0	N/A	N/A
LibSnd::VM_N2P	800D5438	N/A	800fbf34	N/A	0	N/A	N/A
LibSnd::VM_NO1	800D5618	N/A	N/A	N/A	0	N/A	N/A
LibSpu::S_SNC	800D5B88	N/A	N/A	N/A	0	N/A	N/A
LibSnd::VM_NOFF	800D5BD8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::VM_NOWOF	800D5C18	N/A	N/A	N/A	0	N/A	N/A
LibSnd::VM_NOWON	800D5CD8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::VM_PB	800D61A8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::VM_PROG2	800D6478	N/A	N/A	N/A	0	N/A	N/A
LibSnd::VM_SEQ	800D64E8	N/A	N/A	N/A	0	N/A	N/A
